Job Filing Number,Filing Status,Filing Date,House No,Street Name,Borough,Block,LOT,Bin,Job Description,Filing Review Type,guid,filing_status,doc_description,doc_name,doc_url_original,download_url,result_status,error_body,zoning_status,doc_create_on,doc_category,doc_type_name,doc_status_label
Q00848877-I1,,,35-16 GAR,CORPORAL STONE STREET,QUEENS,6173,26,4624658,"NEW ONE CAR GARAGE, OBTAIN C OF O.",Professional Certification,4f6d0814-97c9-ed11-a917-005056b0044a,38,DEP: Sewer Certification (Sanitary/Storm),DEP: Sewer Certification (Sanitary/Storm),http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303985755297,,FILTERED,,HAS ZONING DOCUMENTS,2023-03-23,Supporting Documents,DEP: Sewer Certification (Sanitary/Storm),Accepted
Q00848877-I1,,,35-16 GAR,CORPORAL STONE STREET,QUEENS,6173,26,4624658,"NEW ONE CAR GARAGE, OBTAIN C OF O.",Professional Certification,4f6d0814-97c9-ed11-a917-005056b0044a,38,Final Survey,Final Survey,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/09003039864ef39e,,FILTERED,,HAS ZONING DOCUMENTS,2023-03-23,Supporting Documents,Final Survey,Accepted
Q00848877-I1,,,35-16 GAR,CORPORAL STONE STREET,QUEENS,6173,26,4624658,"NEW ONE CAR GARAGE, OBTAIN C OF O.",Professional Certification,4f6d0814-97c9-ed11-a917-005056b0044a,38,House Number Verification: TOPO Stamp,House Number Verification: TOPO Stamp,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/090030398692206e,,FILTERED,,HAS ZONING DOCUMENTS,2023-03-23,Supporting Documents,House Number Verification: TOPO Stamp,Accepted
Q00848877-I1,,,35-16 GAR,CORPORAL STONE STREET,QUEENS,6173,26,4624658,"NEW ONE CAR GARAGE, OBTAIN C OF O.",Professional Certification,4f6d0814-97c9-ed11-a917-005056b0044a,38,Site Survey: Initial,Site Survey: Initial,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303985755308,,FILTERED,,HAS ZONING DOCUMENTS,2023-03-23,Supporting Documents,Site Survey: Initial,Accepted
Q00848877-I1,,,35-16 GAR,CORPORAL STONE STREET,QUEENS,6173,26,4624658,"NEW ONE CAR GARAGE, OBTAIN C OF O.",Professional Certification,4f6d0814-97c9-ed11-a917-005056b0044a,38,Street Tree Checklist,Street Tree Checklist,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303985755304,,FILTERED,,HAS ZONING DOCUMENTS,2023-03-23,Supporting Documents,Street Tree Checklist,Accepted
Q00848877-I1,,,35-16 GAR,CORPORAL STONE STREET,QUEENS,6173,26,4624658,"NEW ONE CAR GARAGE, OBTAIN C OF O.",Professional Certification,4f6d0814-97c9-ed11-a917-005056b0044a,38,ZD1: DOB Zoning Diagram,ZD1: DOB Zoning Diagram,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/090030398598dfe2,https://a810-DOBNOW.nyc.gov/Publish/DocumentStage//PortalDownloadedDocuments/QUEENS/TEST//202608051017455721940386859/ZD1 DOB Zoning Diagram.pdf,OK,,HAS ZONING DOCUMENTS,2023-03-23,Supporting Documents,ZD1: DOB Zoning Diagram,Accepted
Q00848877-I1,,,35-16 GAR,CORPORAL STONE STREET,QUEENS,6173,26,4624658,"NEW ONE CAR GARAGE, OBTAIN C OF O.",Professional Certification,4f6d0814-97c9-ed11-a917-005056b0044a,38,Local Law 92/94 of 2019 Sustainable Roof Zone,Local Law 92/94 of 2019 Sustainable Roof Zone,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/090030398575530a,,FILTERED,,HAS ZONING DOCUMENTS,2023-03-23,Supporting Documents,Local Law 92/94 of 2019 Sustainable Roof Zone,Accepted
Q00848877-I1,,,35-16 GAR,CORPORAL STONE STREET,QUEENS,6173,26,4624658,"NEW ONE CAR GARAGE, OBTAIN C OF O.",Professional Certification,4f6d0814-97c9-ed11-a917-005056b0044a,38,Property Ownership Certification,Property Ownership Certification,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/090030398575532a,,FILTERED,,HAS ZONING DOCUMENTS,2023-03-23,Supporting Documents,Property Ownership Certification,Accepted
Q00848877-I1,,,35-16 GAR,CORPORAL STONE STREET,QUEENS,6173,26,4624658,"NEW ONE CAR GARAGE, OBTAIN C OF O.",Professional Certification,4f6d0814-97c9-ed11-a917-005056b0044a,38,PD1 Document,PD1 Document,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/090030398575530c,,FILTERED,,HAS ZONING DOCUMENTS,2023-03-23,Supporting Documents,PD1 Document,Accepted
Q00848877-I1,,,35-16 GAR,CORPORAL STONE STREET,QUEENS,6173,26,4624658,"NEW ONE CAR GARAGE, OBTAIN C OF O.",Professional Certification,4f6d0814-97c9-ed11-a917-005056b0044a,38,Other Documents  - ZONING EXHIBIT 1,Other Documents  - ZONING EXHIBIT 1,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303985887472,,FILTERED,,HAS ZONING DOCUMENTS,2023-04-28,Supporting Documents,Other Documents - Prior to Approval,Accepted
