Job Filing Number,Filing Status,Filing Date,House No,Street Name,Borough,Block,LOT,Bin,Job Description,Filing Review Type,guid,filing_status,doc_description,doc_name,doc_url_original,download_url,result_status,error_body,zoning_status,doc_create_on,doc_category,doc_type_name,doc_status_label
Q00849067-I1,,,35-16 GAR,CORPORAL STONE STREET,QUEENS,,,4624658,INSTALL STORM DRAINAGE PIPING AT GARAGE UNDER JOB #Q00848877,Professional Certification,a6d68c89-acc9-ed11-a451-005056b0dd10,18,Other Documents  - SURVEY,Other Documents  - SURVEY,http://bscan-broker.csc.nycnet:18080/dctm-rest/repositories/bscan_prod_rep/documents/0900303985755458,,FILTERED,,NO ZONING DOCUMENTS,2023-03-23,Supporting Documents,Other Documents - Prior to Approval,Accepted
B08024745-I1,,,5995,SHORE PARKWAY,BROOKLYN,,,3331440,FURNISH AND INSTALL ONE NEW VRC,,c4b775f0-9b50-ed11-a900-005056b0c55c,,,,,,NO DOCUMENTS,,NO ZONING DOCUMENTS,,,,
M01241237-I1-LA,,,224,EAST   47 STREET,MANHATTAN,,,1037605,"DUE TO STREET REPAIR BY THE UTILITY COMPANY REPLACE APPROX 50' OF 2"" GAS PIPE IN CELLAR FOR THE EXISTING LAUNDRY ROOM AS PER CO #113938 ON BIS. METER IS EXISTING. FIRESTOPS WILL NOT BE COMPROMISED",,8f768aa6-7c48-f011-a990-005056b0044a,,,,,,NO DOCUMENTS,,NO ZONING DOCUMENTS,,,,
,,,,,,,,2012957,,,,,,,,,AKAMAI_BLOCKED,,,,,,
,,,,,,,,2063767,,,,,,,,,AKAMAI_BLOCKED,,,,,,
,,,,,,,,3060844,,,,,,,,,AKAMAI_BLOCKED,,,,,,
,,,,,,,,2130975,,,,,,,,,AKAMAI_BLOCKED,,,,,,
,,,,,,,,4112476,,,,,,,,,AKAMAI_BLOCKED,,,,,,
,,,,,,,,3002558,,,,,,,,,AKAMAI_BLOCKED,,,,,,
,,,,,,,,3201080,,,,,,,,,AKAMAI_BLOCKED,,,,,,
